accessibilityId,placeId,mobilityAccess,visualAccess,hearingAccess,cognitiveAccess,wheelchairAccess,strollerAccess,elderlyAccess,disabledToilet,transitAccess500m,facilityAccess,activityAccess,accessVerdictReason,slopeInfo,routeCondition,barrierFreeDetail,partialReason,mobilityCaveat,mobilityEvidence,visualEvidence,hearingEvidence,visualAid,hearingAid,activityEvidence,toiletScope,toiletScopeDesc,moveType,assistLevel,wheelchairRental,ticketOfficeAccess,wheelchairSeating,surveySource,sensoryLoad,assistAvailable,reservationRequired,multiTypeSourceDate,dynamicObstacle,dynamicObstacleDesc,wheelchairSection,wheelchairSectionDist,wheelchairDifficulty,wheelchairCaveat,companionRequired,vehicleAccessible,disabledToiletOnRoute,accessibleRoomCount,accessibleRoomNote,openTourismSite,source,sourceDate,sourceCheckUrl,multiTypeSource,multiTypeNote,verifyStatus,verifyNote,correctionHistory,schemaVersion,evidenceType,evidenceDetail,beachAccessRoute,beachEntryNote,waterEntryNote,recommendForMobility,recommendForVisual,recommendForHearing,sensoryAccessNote
ACC_P001,P001,FULL,UNKNOWN,UNKNOWN,UNKNOWN,FULL,FULL,FULL,FULL,Y,AVAILABLE,AVAILABLE,시설접근 기준 판정 — 활동참여 개별 근거 미확보,경사로 있음,확인 필요,교통약자 전용 승하차구역(국내선 3층 3번게이트 앞)+교통약자 전용좌석+장애인용 엘리베이터+휠체어 대여(활동형·보조키트)+우선탑승+장애인 주차요금 50% 감면,,환자용(거상형·목욕용) 휠체어는 공항 대여 불가 — 외부 의료기 상사 이용 필요,,,,휠내비길(wheelnavi.kr) 음성안내 · 제주올레 오디오가이드(jejuolle.org) 코스별 음성해설,「탐나는수어」 앱 · 제주수어통역센터 여행수어 자료(jejudeaf.com),,IN_VENUE,관람 구간 내 이용 가능,차량+대중교통,,,,,,,,,2023-12,,,,,,,UNKNOWN,UNKNOWN,,,,,한국공항공사 제주공항 교통약자 동반 안내 + 제주관광공사 확인,2026-07,airport.co.kr/jeju (교통약자 동반),제주관광공사 「오감으로 즐기는 제주」(2023.12.22) · 한국관광공사 열린관광지 · 이지제주,"현재 무장애 정보는 이동(지체) 접근성 기준입니다. 시각·청각·발달 장애 정보는 확보 중이며, 열린관광 모두의여행(access.visitkorea.or.kr) 또는 이지제주(easyjeju.net)에서 확인하실 수 있습니다.",VERIFIED,검증완료(2026-07) — 공항공사 공식 교통약자 안내 대조,,v3,OFFICIAL_DOC,,,,,Y,UNKNOWN,UNKNOWN,
ACC_P002,P002,PARTIAL,PARTIAL,UNKNOWN,UNKNOWN,PARTIAL,PARTIAL,PARTIAL,FULL,Y,CONDITIONAL,CONDITIONAL,시설접근 기준 판정 — 활동참여 개별 근거 미확보,"계단 혹은 경사 있음+내리막 경사 종점 = 출입구 7 입구: 경사구간 : 내리막 경사 길이 57m (경사 5˚)
주차장에서 시장가는 출입구: 입구 폭 90cm. 4번 출구 인도 폭 좁음 (휠체어 이용 어려움)",계단 있음+노면 불량+판석+폭 좁음+휠체어 접근 가능,장애인 화장실 있음+시각장애인 지원 가능,,,,,,휠내비길(wheelnavi.kr) 음성안내 · 제주올레 오디오가이드(jejuolle.org) 코스별 음성해설,「탐나는수어」 앱 · 제주수어통역센터 여행수어 자료(jejudeaf.com),,IN_VENUE,관람 구간 내 이용 가능,차량+대중교통,,,,,,,,,2023-12,MARKET_STALL,노점·가판대·적재물로 실제 통로 폭이 조사값보다 좁아질 수 있음. 장날·성수기 통행 곤란,,,,,UNKNOWN,UNKNOWN,,,,,제주관광약자접근성안내센터(이지제주) · 한국관광공사 열린관광 · ㈜휴플 현장조사,2024~2026 (주 조사 2026-06),https://easyjeju.net · https://www.data.go.kr/data/15101897/openapi.do,제주관광공사 「오감으로 즐기는 제주」(2023.12.22) · 한국관광공사 열린관광지 · 이지제주,"현재 무장애 정보는 이동(지체) 접근성 기준입니다. 시각·청각·발달 장애 정보는 확보 중이며, 열린관광 모두의여행(access.visitkorea.or.kr) 또는 이지제주(easyjeju.net)에서 확인하실 수 있습니다.",SURVEYED,[FIX65] 한국관광공사 무장애 API(detailWithTour2) — helpdog=동반가능_시각장애인 편의시설,FIX65: visualAccess UNKNOWN→PARTIAL (KTO API),v3,ROUTE_SURVEY,경로 상태 조사: 계단 있음+노면 불량+판석+폭 좁음+휠체어 접근 가능,,,,Y,UNKNOWN,UNKNOWN,
ACC_P003,P003,PARTIAL,PARTIAL,UNKNOWN,UNKNOWN,PARTIAL,FULL,FULL,FULL,Y,CONDITIONAL,CONDITIONAL,시설접근 기준 판정 — 활동참여 개별 근거 미확보,일부 구간 6~10도의 경사가 있어 동행자의 도움이 필요합니다+동문시장 함덕어물상회 맞은편 공설시장 출입구 경사 약 10.2도입니다+출입구 유효폭이 적정하며 단차 없습니다,휠체어 접근 가능,경사로 있음+휠체어 대여 가능+유모차 대여 가능+장애인 주차장 있음+장애인 화장실 있음,경사 6~10도 + 노점 밀집으로 실통행 폭 협소 — 한산한 시간대 방문 권장,,,,,휠내비길(wheelnavi.kr) 음성안내 · 제주올레 오디오가이드(jejuolle.org) 코스별 음성해설,「탐나는수어」 앱 · 제주수어통역센터 여행수어 자료(jejudeaf.com),,IN_VENUE,관람 구간 내 이용 가능,차량+대중교통,,,,,,,,,2023-12,MARKET_STALL_SEVERE,가판대·적재물로 보행 자체가 혼잡. 휠체어 통행은 사실상 어려움(현장 확인),,,,,UNKNOWN,UNKNOWN,,,,,제주관광약자접근성안내센터(이지제주) · 한국관광공사 열린관광 · ㈜휴플 현장조사,2024~2026 (주 조사 2026-06),https://easyjeju.net · https://www.data.go.kr/data/15101897/openapi.do,제주관광공사 「오감으로 즐기는 제주」(2023.12.22) · 한국관광공사 열린관광지 · 이지제주,"현재 무장애 정보는 이동(지체) 접근성 기준입니다. 시각·청각·발달 장애 정보는 확보 중이며, 열린관광 모두의여행(access.visitkorea.or.kr) 또는 이지제주(easyjeju.net)에서 확인하실 수 있습니다.",VERIFIED,검증완료(2026-07) [FIX65] 한국관광공사 무장애 API(detailWithTour2) — helpdog=동반 가능_시각장애인 편의시설,FIX14: POPULAR FULL 외부·서술 검증 하향 | FIX65: visualAccess UNKNOWN→PARTIAL (KTO API),v3,ROUTE_SURVEY,경로 상태 조사: 휠체어 접근 가능,,,,Y,UNKNOWN,UNKNOWN,
ACC_P004,P004,PARTIAL,UNKNOWN,UNKNOWN,UNKNOWN,PARTIAL,PARTIAL,PARTIAL,FULL,Y,CONDITIONAL,CONDITIONAL,시설접근 기준 판정 — 활동참여 개별 근거 미확보,"외부 관람로 장애물(배수로) 있으며, 델문트 방면 바닥 요철마감입니다+델문도 방향 관람로 바닥 요철 마감입니다+화장실 접근로 단차 12cm 있습니다",노면 불량+자갈길+흙길+백사장/모래길,장애인 주차장 있음+장애인 화장실 있음+데크 산책로 있음,,,,,,휠내비길(wheelnavi.kr) 음성안내 · 제주올레 오디오가이드(jejuolle.org) 코스별 음성해설,「탐나는수어」 앱 · 제주수어통역센터 여행수어 자료(jejudeaf.com),,IN_VENUE,관람 구간 내 이용 가능,차량+대중교통+도보,,,,,,,,,2023-12,,,,,,,UNKNOWN,UNKNOWN,,,,,제주관광약자접근성안내센터(이지제주) · 한국관광공사 열린관광 · ㈜휴플 현장조사,2024~2026 (주 조사 2026-06),https://easyjeju.net,제주관광공사 「오감으로 즐기는 제주」(2023.12.22) · 한국관광공사 열린관광지 · 이지제주,"현재 무장애 정보는 이동(지체) 접근성 기준입니다. 시각·청각·발달 장애 정보는 확보 중이며, 열린관광 모두의여행(access.visitkorea.or.kr) 또는 이지제주(easyjeju.net)에서 확인하실 수 있습니다.",SURVEYED,,,v3,ROUTE_SURVEY,경로 상태 조사: 노면 불량+자갈길+흙길+백사장/모래길,있음,백사장까지 이어지는 진입로가 있어 휠체어로 바다 가까이 접근할 수 있습니다,발이 닿는 깊이까지만 들어가시고 먼 바다 쪽으로는 나가지 말아 주세요. 파고가 2m를 넘거나 풍랑특보가 발효되면 입수를 삼가 주세요. 너울은 파도가 잔잔해 보여도 갑자기 밀려오니 갯바위와 방파제 위에는 올라가지 말아 주세요. 체감온도 33도가 넘는 날에는 한낮 물놀이를 피하고 그늘에서 자주 쉬어 주세요. 휠체어 이용자는 파도에 중심을 잃기 쉽고 스스로 빠져나오기 어려우니 반드시 동행자와 함께해 주세요.,Y,UNKNOWN,UNKNOWN,
ACC_P005,P005,PARTIAL,FULL,PARTIAL,UNKNOWN,PARTIAL,PARTIAL,PARTIAL,FULL,Y,CONDITIONAL,CONDITIONAL,시설접근 기준 판정 — 활동참여 개별 근거 미확보,장애인 주차장 이용시 주 출입구 접근로 경사(약 13도)있습니다+외부 관람로 경사(약 6-10도)있습니다+장애인 전용 주차장 주차시 주 출입구 접근로 경사(약 13도) 있습니다,정상 등반 불가+일부 구간 접근 제한+휠체어 접근 가능,휠체어 대여 가능+장애인 주차장 있음+장애인 화장실 있음+수유실/영유아 돌봄 가능+점자책 있음+시각장애인 지원 가능+기저귀교환대 있음,,,,,탐나는수어 앱 수어해설 21곳(11.성산일출봉). 현장 QR·AR 수어영상,휠내비길(wheelnavi.kr) 음성안내 · 제주올레 오디오가이드(jejuolle.org) 코스별 음성해설,「탐나는수어」 앱(제주수어통역센터) + 현장 QR,,IN_VENUE,관람 구간 내 이용 가능,차량+대중교통+도보,,,,,,,,,2023-12,,,,,,,UNKNOWN,UNKNOWN,,,,,제주관광약자접근성안내센터(이지제주) · 한국관광공사 열린관광 · ㈜휴플 현장조사,2024~2026 (주 조사 2026-06),https://easyjeju.net · https://www.data.go.kr/data/15101897/openapi.do,제주관광공사 「오감으로 즐기는 제주」(2023.12.22) · 한국관광공사 열린관광지 · 이지제주,"현재 무장애 정보는 이동(지체) 접근성 기준입니다. 시각·청각·발달 장애 정보는 확보 중이며, 열린관광 모두의여행(access.visitkorea.or.kr) 또는 이지제주(easyjeju.net)에서 확인하실 수 있습니다.",VERIFIED,검증완료(2026-07) [FIX65] 한국관광공사 무장애 API(detailWithTour2) — brailepromotion=매표소에 점자홍보물 있음; helpdog=동반가능; guidehuman=관광해설사 안내 가능,FIX65: visualAccess UNKNOWN→FULL (KTO API),v3,ROUTE_SURVEY,경로 상태 조사: 정상 등반 불가+일부 구간 접근 제한+휠체어 접근 가능,,,,Y,UNKNOWN,Y,
ACC_P006,P006,PARTIAL,PARTIAL,UNKNOWN,UNKNOWN,PARTIAL,PARTIAL,PARTIAL,FULL,Y,CONDITIONAL,CONDITIONAL,시설접근 기준 판정 — 활동참여 개별 근거 미확보,경사로 있음,백사장/모래길+휠체어 접근 가능,경사로 있음+장애인 화장실 있음,,백사장 진입로는 해변 우측 끝에 위치,"해변 오른쪽 끝 휠체어 백사장·바다 진입로 마련(모래 빠짐 방지), 오감 p.18",,,휠내비길(wheelnavi.kr) 음성안내 · 제주올레 오디오가이드(jejuolle.org) 코스별 음성해설,「탐나는수어」 앱 · 제주수어통역센터 여행수어 자료(jejudeaf.com),,IN_VENUE,관람 구간 내 이용 가능,차량+대중교통+도보,,,,,,,,,2023-12,,,,,,,UNKNOWN,UNKNOWN,,,,,제주관광약자접근성안내센터(이지제주) · 한국관광공사 열린관광 · ㈜휴플 현장조사,2024~2026 (주 조사 2026-06),https://easyjeju.net · https://www.data.go.kr/data/15101897/openapi.do,제주관광공사 「오감으로 즐기는 제주」(2023.12.22) · 한국관광공사 열린관광지 · 이지제주,"현재 무장애 정보는 이동(지체) 접근성 기준입니다. 시각·청각·발달 장애 정보는 확보 중이며, 열린관광 모두의여행(access.visitkorea.or.kr) 또는 이지제주(easyjeju.net)에서 확인하실 수 있습니다.",SURVEYED,[FIX65] 한국관광공사 무장애 API(detailWithTour2) — braileblock=점자블록 있음(모살밭회관 오른쪽 공중화장실)_시각장애인 편의시설,FIX65: visualAccess UNKNOWN→PARTIAL (KTO API),v3,ROUTE_SURVEY,경로 상태 조사: 백사장/모래길+휠체어 접근 가능,있음,백사장까지 이어지는 진입로가 있어 휠체어로 바다 가까이 접근할 수 있습니다,발이 닿는 깊이까지만 들어가시고 먼 바다 쪽으로는 나가지 말아 주세요. 파고가 2m를 넘거나 풍랑특보가 발효되면 입수를 삼가 주세요. 너울은 파도가 잔잔해 보여도 갑자기 밀려오니 갯바위와 방파제 위에는 올라가지 말아 주세요. 체감온도 33도가 넘는 날에는 한낮 물놀이를 피하고 그늘에서 자주 쉬어 주세요. 휠체어 이용자는 파도에 중심을 잃기 쉽고 스스로 빠져나오기 어려우니 반드시 동행자와 함께해 주세요.,Y,UNKNOWN,UNKNOWN,
ACC_P007,P007,PARTIAL,UNKNOWN,UNKNOWN,UNKNOWN,PARTIAL,PARTIAL,PARTIAL,FULL,Y,CONDITIONAL,CONDITIONAL,시설접근 기준 판정 — 활동참여 개별 근거 미확보,"내부 관람로 단차 및 경사 없이 관람 가능합니다+※ 외부 관람로 오설록 티 뮤지엄 야외 전망대 구간 단차, 건물 간 이동 경로 경사로 '도움필요 상' 이며 그 외 '단독접근가능' 입니다+건물 간 이동 경로 경사 있으며, 서광차밭 바닥 요철 마감입니다",동행보조 필요+휠체어 접근 가능,경사로 있음+휠체어 대여 가능+장애인 주차장 있음+장애인 화장실 있음+엘리베이터 있음+기저귀교환대 있음,,,,,,휠내비길(wheelnavi.kr) 음성안내 · 제주올레 오디오가이드(jejuolle.org) 코스별 음성해설,「탐나는수어」 앱 · 제주수어통역센터 여행수어 자료(jejudeaf.com),,IN_VENUE,관람 구간 내 이용 가능,차량+대중교통,,,,,,,,,2023-12,,,,,,,UNKNOWN,UNKNOWN,,,,,제주관광약자접근성안내센터(이지제주) · 한국관광공사 열린관광 · ㈜휴플 현장조사,2024~2026 (주 조사 2026-06),https://easyjeju.net,제주관광공사 「오감으로 즐기는 제주」(2023.12.22) · 한국관광공사 열린관광지 · 이지제주,"현재 무장애 정보는 이동(지체) 접근성 기준입니다. 시각·청각·발달 장애 정보는 확보 중이며, 열린관광 모두의여행(access.visitkorea.or.kr) 또는 이지제주(easyjeju.net)에서 확인하실 수 있습니다.",SURVEYED,,,v3,ROUTE_SURVEY,경로 상태 조사: 동행보조 필요+휠체어 접근 가능,,,,Y,UNKNOWN,UNKNOWN,
ACC_P008,P008,PARTIAL,UNKNOWN,UNKNOWN,UNKNOWN,PARTIAL,PARTIAL,PARTIAL,FULL,Y,CONDITIONAL,CONDITIONAL,시설접근 기준 판정 — 활동참여 개별 근거 미확보,"I LOVE 이호 조형물 앞: 접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음)
w.p 16번과 동일: 접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음)
내리막 종점: 접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음)
붉은말 등대 가는 길 입구: 접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음)
붉은말 등대 가는 길 입구: 화장실 시멘트 진입로 폭 90cm이나 중간에 없어졌다가 코어네트 길로 바뀜. 33m 화살표 끝지점부터 경사10°
붉은말 등대 앞: 접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음)
붉은말 등대 진입로 중간입구: 접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음)
붉은말 등대 진입로 중간입구 앞 횡단보도: 접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음)
쓰레기는 클린하우스로' 표지판 앞: 접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음)
용천수 연못: 접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음)
이호비치화장실 가기 전. 붉은말 등대 가는 길. 휠체어 진입로: 점형블록 있음. 중간 11° 경사의 시멘트 턱 있음
이호비치화장실 경사로 오르막: 이호비치화장실주차장→주차장2 (41m/10° 경사구간)
주차장 인도 내려가는 길: 경사구간 : 경사로 길이16m/경사16-17°로 수전동x 전동o 동행 필요
하얀말 등대 앞(반환): 15° 짧은 경사 있음 -주차장으로 회귀
하얀말 등대 진입로 경사로 시작: 경사구간 : 242m지점 경사 8°. 등대 진입로에 차량 철제 가로막 있음
횡단보도 앞: 인도폭 120cm+계단 혹은 경사 있음",계단 있음+단차/턱 있음+노면 불량+폭 좁음,장애인 화장실 있음,,,,,,휠내비길(wheelnavi.kr) 음성안내 · 제주올레 오디오가이드(jejuolle.org) 코스별 음성해설,「탐나는수어」 앱 · 제주수어통역센터 여행수어 자료(jejudeaf.com),,IN_VENUE,관람 구간 내 이용 가능,차량+대중교통+도보,,,,,,,,,2023-12,,,,,,,UNKNOWN,UNKNOWN,,,,,제주관광약자접근성안내센터(이지제주) · 한국관광공사 열린관광 · ㈜휴플 현장조사,2024~2026 (주 조사 2026-06),https://easyjeju.net,제주관광공사 「오감으로 즐기는 제주」(2023.12.22) · 한국관광공사 열린관광지 · 이지제주,"현재 무장애 정보는 이동(지체) 접근성 기준입니다. 시각·청각·발달 장애 정보는 확보 중이며, 열린관광 모두의여행(access.visitkorea.or.kr) 또는 이지제주(easyjeju.net)에서 확인하실 수 있습니다.",SURVEYED,,,v3,ROUTE_SURVEY,경로 상태 조사: 계단 있음+단차/턱 있음+노면 불량+폭 좁음,미확인,모래사장은 휠체어 바퀴가 빠져 이동이 어렵습니다. 진입로·데크 설치 여부가 확인되지 않았으니 방문 전 문의하시거나 해변용 휠체어 대여 가능 여부를 확인해 주세요,발이 닿는 깊이까지만 들어가시고 먼 바다 쪽으로는 나가지 말아 주세요. 파고가 2m를 넘거나 풍랑특보가 발효되면 입수를 삼가 주세요. 너울은 파도가 잔잔해 보여도 갑자기 밀려오니 갯바위와 방파제 위에는 올라가지 말아 주세요. 체감온도 33도가 넘는 날에는 한낮 물놀이를 피하고 그늘에서 자주 쉬어 주세요. 휠체어 이용자는 파도에 중심을 잃기 쉽고 스스로 빠져나오기 어려우니 반드시 동행자와 함께해 주세요.,Y,UNKNOWN,UNKNOWN,
ACC_P009,P009,PARTIAL,UNKNOWN,UNKNOWN,PARTIAL,PARTIAL,FULL,FULL,FULL,N,CONDITIONAL,CONDITIONAL,시설접근 기준 판정 — 활동참여 개별 근거 미확보,"세계의섬 관람로는 전체적으로 단차 및 경사가 없습니다+아쿠아 플레이 존 출입구에 좌측 계단 우측 경사로(약 12도, 3m)가 설치되어 있습니다+아쿠아 플레이 존 출입구 경사로 12도 있으며, 내부 관람로 경사 최대 7도 구간 있습니다",휠체어 접근 가능,경사로 있음+휠체어 대여 가능+유모차 대여 가능+장애인 주차장 있음+장애인 화장실 있음+수유실/영유아 돌봄 가능+영유아 보호의자(부분가능)+엘리베이터 있음+매표소 접근 가능+장애인 관람석 있음,아쿠아플레이존 출입구 12도 경사로(3m) — 해당 구역 도움 필요,,,,,휠내비길(wheelnavi.kr) 음성안내 · 제주올레 오디오가이드(jejuolle.org) 코스별 음성해설,「탐나는수어」 앱 · 제주수어통역센터 여행수어 자료(jejudeaf.com),"발달장애인 추천 코스 수록: ""감각적 자극이 강하지 않으면서 다양한 체험거리와 볼거리""(오감 p.14). 실내로 우천·강풍 무관",IN_VENUE,관람 구간 내 이용 가능,차량,도움 거의 불필요,Y,,,㈜휴플 자체 현장조사 (2024~2025),LOW,,,2023-12,,,,,,,UNKNOWN,UNKNOWN,,,,,제주관광약자접근성안내센터(이지제주) · 한국관광공사 열린관광 · ㈜휴플 현장조사,2024~2026 (주 조사 2026-06),https://easyjeju.net,제주관광공사 「오감으로 즐기는 제주」(2023.12.22) · 한국관광공사 열린관광지 · 이지제주,"현재 무장애 정보는 이동(지체) 접근성 기준입니다. 시각·청각·발달 장애 정보는 확보 중이며, 열린관광 모두의여행(access.visitkorea.or.kr) 또는 이지제주(easyjeju.net)에서 확인하실 수 있습니다.",VERIFIED,검증완료(2026-07),FIX14: POPULAR FULL 외부·서술 검증 하향,v3,FIELD_SURVEY,㈜휴플 자체 현장조사 / 경로: 휠체어 접근 가능,,,기상이 나쁜 날에는 실내 구역 이용이 가능한지 미리 확인해 주세요. 체감온도 33도가 넘는 날에는 야외 구역 체류를 줄이고 수분을 자주 보충해 주세요.,Y,UNKNOWN,UNKNOWN,
ACC_P010,P010,PARTIAL,UNKNOWN,UNKNOWN,UNKNOWN,PARTIAL,PARTIAL,PARTIAL,PARTIAL,N,CONDITIONAL,CONDITIONAL,시설접근 기준 판정 — 활동참여 개별 근거 미확보,관람로는 대체적으로 단차가 없으나 일부구간 약 4.5~10도의 경사가 있어 동행자의 도움이 필요합니다+구 올인하우스(폐허) 방면 경사 약 5~7도입니다. 구 올인하우스 옆길 경사 약 5~10도입니다. 구 올인하우스를 지나 협자연대 방면 경사 7~10도입니다. 협자연대 옆길 단차 약 5cm 있습니다. 등대 방면 경사 7~14도입니다+휠체어 사용자는 휘닉스 제주 방면으로 이동하면 경사 및 요철 없이 편하게 접근 가능합니다,동행보조 필요+휠체어 접근 가능,장애인 주차장 있음+장애인 화장실 있음(부분가능),,,,,,휠내비길(wheelnavi.kr) 음성안내 · 제주올레 오디오가이드(jejuolle.org) 코스별 음성해설,「탐나는수어」 앱 · 제주수어통역센터 여행수어 자료(jejudeaf.com),,IN_VENUE,관람 구간 내 이용 가능,차량+도보,,,,,,,,,2023-12,,,,,,,UNKNOWN,UNKNOWN,,,,,제주관광약자접근성안내센터(이지제주) · 한국관광공사 열린관광 · ㈜휴플 현장조사,2024~2026 (주 조사 2026-06),https://easyjeju.net,제주관광공사 「오감으로 즐기는 제주」(2023.12.22) · 한국관광공사 열린관광지 · 이지제주,"현재 무장애 정보는 이동(지체) 접근성 기준입니다. 시각·청각·발달 장애 정보는 확보 중이며, 열린관광 모두의여행(access.visitkorea.or.kr) 또는 이지제주(easyjeju.net)에서 확인하실 수 있습니다.",VERIFIED,검증완료(2026-07),,v3,ROUTE_SURVEY,경로 상태 조사: 동행보조 필요+휠체어 접근 가능,,,,Y,UNKNOWN,UNKNOWN,
